year,month,department,gl_category,budgeted_amount
2023,2023-01,Engineering,Payroll & Benefits,165741.61
2023,2023-01,Engineering,Cloud Infrastructure,53547.29
2023,2023-01,Engineering,R&D Expenses,35698.19
2023,2023-01,Sales,Payroll & Benefits,94709.49
2023,2023-01,Sales,SaaS Tools & Subscriptions,28048.58
2023,2023-01,Sales,Travel & Entertainment,22948.84
2023,2023-01,Marketing,Payroll & Benefits,71032.12
2023,2023-01,Marketing,Sales & Marketing,30598.45
2023,2023-01,Marketing,SaaS Tools & Subscriptions,7649.61
2023,2023-01,Product,Payroll & Benefits,47354.74
2023,2023-01,Product,Cloud Infrastructure,19124.03
2023,2023-01,Product,R&D Expenses,6374.68
2023,2023-01,Operations,Payroll & Benefits,56825.69
2023,2023-01,Operations,SaaS Tools & Subscriptions,13769.3
2023,2023-01,Operations,Office & Facilities,16829.15
2023,2023-01,Finance,Payroll & Benefits,37883.8
2023,2023-01,Finance,Professional Services,17339.12
2023,2023-01,Finance,SaaS Tools & Subscriptions,3059.85
2023,2023-02,Engineering,Payroll & Benefits,156870.74
2023,2023-02,Engineering,Cloud Infrastructure,50681.32
2023,2023-02,Engineering,R&D Expenses,33787.54
2023,2023-02,Sales,Payroll & Benefits,89640.43
2023,2023-02,Sales,SaaS Tools & Subscriptions,26547.36
2023,2023-02,Sales,Travel & Entertainment,21720.56
2023,2023-02,Marketing,Payroll & Benefits,67230.32
2023,2023-02,Marketing,Sales & Marketing,28960.75
2023,2023-02,Marketing,SaaS Tools & Subscriptions,7240.19
2023,2023-02,Product,Payroll & Benefits,44820.21
2023,2023-02,Product,Cloud Infrastructure,18100.47
2023,2023-02,Product,R&D Expenses,6033.49
2023,2023-02,Operations,Payroll & Benefits,53784.26
2023,2023-02,Operations,SaaS Tools & Subscriptions,13032.34
2023,2023-02,Operations,Office & Facilities,15928.41
2023,2023-02,Finance,Payroll & Benefits,35856.17
2023,2023-02,Finance,Professional Services,16411.09
2023,2023-02,Finance,SaaS Tools & Subscriptions,2896.08
2023,2023-03,Engineering,Payroll & Benefits,158666.04
2023,2023-03,Engineering,Cloud Infrastructure,51261.34
2023,2023-03,Engineering,R&D Expenses,34174.22
2023,2023-03,Sales,Payroll & Benefits,90666.31
2023,2023-03,Sales,SaaS Tools & Subscriptions,26851.18
2023,2023-03,Sales,Travel & Entertainment,21969.14
2023,2023-03,Marketing,Payroll & Benefits,67999.73
2023,2023-03,Marketing,Sales & Marketing,29292.19
2023,2023-03,Marketing,SaaS Tools & Subscriptions,7323.05
2023,2023-03,Product,Payroll & Benefits,45333.15
2023,2023-03,Product,Cloud Infrastructure,18307.62
