date,transaction_id,department,gl_code,gl_category,description,amount,vendor,transaction_type,month,year,source,role_visibility,status
2023-01-31,GL000001,Engineering,6000,Payroll & Benefits,January 2023 payroll for E001,12720.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000002,Engineering,6000,Payroll & Benefits,January 2023 payroll for E002,12871.76,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000003,Engineering,6000,Payroll & Benefits,January 2023 payroll for E003,13023.53,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000004,Engineering,6000,Payroll & Benefits,January 2023 payroll for E004,13175.29,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000005,Engineering,6000,Payroll & Benefits,January 2023 payroll for E005,13327.06,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000006,Engineering,6000,Payroll & Benefits,January 2023 payroll for E006,13478.82,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000007,Engineering,6000,Payroll & Benefits,January 2023 payroll for E007,13630.59,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000008,Engineering,6000,Payroll & Benefits,January 2023 payroll for E008,13782.35,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000009,Engineering,6000,Payroll & Benefits,January 2023 payroll for E009,13934.12,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000010,Engineering,6000,Payroll & Benefits,January 2023 payroll for E010,14085.88,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000011,Engineering,6000,Payroll & Benefits,January 2023 payroll for E011,14237.65,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000012,Engineering,6000,Payroll & Benefits,January 2023 payroll for E012,14389.41,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000013,Engineering,6000,Payroll & Benefits,January 2023 payroll for E013,14541.18,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000014,Engineering,6000,Payroll & Benefits,January 2023 payroll for E014,14692.94,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000015,Engineering,6000,Payroll & Benefits,January 2023 payroll for E015,14844.71,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000016,Engineering,6000,Payroll & Benefits,January 2023 payroll for E016,14996.47,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000017,Engineering,6000,Payroll & Benefits,January 2023 payroll for E017,15148.24,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000018,Engineering,6000,Payroll & Benefits,January 2023 payroll for E018,15300.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-31,GL000019,Sales,6000,Payroll & Benefits,January 2023 payroll for E019,9186.67,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000020,Sales,6000,Payroll & Benefits,January 2023 payroll for E020,9393.7,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000021,Sales,6000,Payroll & Benefits,January 2023 payroll for E021,9600.74,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000022,Sales,6000,Payroll & Benefits,January 2023 payroll for E022,9807.78,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000023,Sales,6000,Payroll & Benefits,January 2023 payroll for E023,10014.81,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000024,Sales,6000,Payroll & Benefits,January 2023 payroll for E024,10221.85,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000025,Sales,6000,Payroll & Benefits,January 2023 payroll for E025,10428.89,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000026,Sales,6000,Payroll & Benefits,January 2023 payroll for E026,10635.93,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000027,Sales,6000,Payroll & Benefits,January 2023 payroll for E027,10842.96,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000028,Sales,6000,Payroll & Benefits,January 2023 payroll for E028,11050.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Sales']",
2023-01-31,GL000029,Marketing,6000,Payroll & Benefits,January 2023 payroll for E029,7920.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-31,GL000030,Marketing,6000,Payroll & Benefits,January 2023 payroll for E030,8221.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-31,GL000031,Marketing,6000,Payroll & Benefits,January 2023 payroll for E031,8522.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-31,GL000032,Marketing,6000,Payroll & Benefits,January 2023 payroll for E032,8823.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-31,GL000033,Marketing,6000,Payroll & Benefits,January 2023 payroll for E033,9124.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-31,GL000034,Marketing,6000,Payroll & Benefits,January 2023 payroll for E034,9425.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Marketing']",
2023-01-31,GL000035,Product,6000,Payroll & Benefits,January 2023 payroll for E035,11480.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-31,GL000036,Product,6000,Payroll & Benefits,January 2023 payroll for E036,11910.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-31,GL000037,Product,6000,Payroll & Benefits,January 2023 payroll for E037,12340.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-31,GL000038,Product,6000,Payroll & Benefits,January 2023 payroll for E038,12770.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-31,GL000039,Product,6000,Payroll & Benefits,January 2023 payroll for E039,13200.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Product']",
2023-01-31,GL000040,Operations,6000,Payroll & Benefits,January 2023 payroll for E040,6860.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-31,GL000041,Operations,6000,Payroll & Benefits,January 2023 payroll for E041,7075.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-31,GL000042,Operations,6000,Payroll & Benefits,January 2023 payroll for E042,7290.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-31,GL000043,Operations,6000,Payroll & Benefits,January 2023 payroll for E043,7505.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-31,GL000044,Operations,6000,Payroll & Benefits,January 2023 payroll for E044,7720.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-31,GL000045,Operations,6000,Payroll & Benefits,January 2023 payroll for E045,7935.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-31,GL000046,Operations,6000,Payroll & Benefits,January 2023 payroll for E046,8150.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Operations']",
2023-01-31,GL000047,Finance,6000,Payroll & Benefits,January 2023 payroll for E047,8920.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Finance']",
2023-01-31,GL000048,Finance,6000,Payroll & Benefits,January 2023 payroll for E048,9421.67,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Finance']",
2023-01-31,GL000049,Finance,6000,Payroll & Benefits,January 2023 payroll for E049,9923.33,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Finance']",
2023-01-31,GL000050,Finance,6000,Payroll & Benefits,January 2023 payroll for E050,10425.0,Gusto,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Finance']",
2023-01-03,GL000051,Engineering,6100,Cloud Infrastructure,"AWS usage line 1: compute, storage, and observability",641.44,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
2023-01-04,GL000052,Engineering,6100,Cloud Infrastructure,"AWS usage line 2: compute, storage, and observability",657.48,AWS,expense,2023-01,2023,gl,"['CEO', 'CFO', 'Finance Analyst', 'Department Head', 'Engineering']",
